PARK,ATTENDANCE,year,Region
Gamble Plantation,67264,2006,CentralWest
Gold Head Branch,65220,2006,NorthEast
Washington Oaks,65020,2006,NorthEast
Koreshan,64585,2006,SouthWest
O'Leno,61589,2006,NorthCentral
Bulow Creek,60961,2006,CentralEast
Alafia River,57803,2006,CentralWest
San Felasco Hammock,57382,2006,NorthCentral
Lake Manatee,54958,2006,CentralWest
Lake Kissimmee,53669,2006,Central
Bald Point,52373,2006,NorthWest
Madison Blue Springs,51880,2006,NorthCentral
Curry Hammock,50643,2006,SouthEast
Eden State Gardens,48146,2006,NorthWest
Don Pedro Island,47700,2006,SouthWest
Stephen Foster,47335,2006,NorthCentral
Cayo Costa,46535,2006,SouthWest
Devil's Millhopper,44680,2006,NorthCentral
Hontoon Island,42710,2006,Central
St. Sebastian River,40391,2006,CentralEast
The Barnacle,39955,2006,SouthEast
Ponce de Leon,39681,2006,NorthWest
Perdido Key,38346,2006,NorthWest
Jack Island,38098,2006,CentralEast
Werner-Boyce,35874,2006,CentralWest
Faver-Dykes,35736,2006,NorthEast
Fort George Island,35532,2006,NorthEast
Lake Griffin,35329,2006,Central
Lake Jackson Mounds,35305,2006,NorthCentral
Olustee Battlefield,34702,2006,NorthCentral
Falling Waters,33863,2006,NorthWest
Yulee Sugar Mills,31752,2006,CentralWest
Ochlockonee River,31176,2006,NorthCentral
Little Manatee River,30798,2006,CentralWest
Paynes Creek,29658,2006,Central
Suwannee River,28417,2006,NorthCentral
Forest Capital,28193,2006,NorthCentral
Nature & Heritage Tourism Center,27798,2006,NorthCentral
Ybor City,26602,2006,CentralWest
Wacasassa Bay,26315,2006,NorthCentral
Fort Cooper,24912,2006,CentralWest
Indian Key,24821,2006,SouthEast
Camp Helen,23811,2006,NorthWest
Torreya,23781,2006,NorthWest
Lafayette Blue Springs,23111,2006,NorthCentral
Lignumvitae Key,23030,2006,SouthEast
Bulow Plantation Ruins,22910,2006,CentralEast
Big Shoals,21853,2006,NorthCentral
Cedar Key Scrub,20511,2006,NorthCentral
Marjorie Kinnan Rawlings,20094,2006,NorthCentral
Savannas,19421,2006,CentralEast
Crystal River Arch. Site,19044,2006,CentralWest
Dade Battlefield,18838,2006,Central
Three Rivers,18370,2006,NorthWest
Troy Springs,17151,2006,NorthCentral
Cedar Key State Museum,16631,2006,NorthCentral
Rock Springs Run,14864,2006,NorthCentral
Lake Talquin/River Bluff,14420,2006,NorthCentral
Haw Creek,14196,2006,NorthEast
St. Lucie Inlet,13886,2006,CentralEast
Estero Bay,11708,2006,SouthWest
Key Largo Hammock,11699,2006,SouthEast
San Marcos de Apalache,11466,2006,NorthCentral
Dudley Farm,10838,2006,NorthCentral
Econfina River,10808,2006,NorthCentral
Seabranch,10570,2006,CentralEast
Windley Key,10467,2006,SouthEast
Kissimmee Prairie,9923,2006,CentralEast
Lower Wekiva River,9896,2006,Central
Natural Bridge Battlefield,9503,2006,NorthCentral
Tosohatchee,8904,2006,Central
Letchworth Mounds,7454,2006,NorthCentral
Colt Creek,7033,2006,CentralWest
Terra Ceia,6553,2006,CentralWest
Deer Lake,6495,2006,NorthWest
Fort Mose,6214,2006,NorthEast
Peacock Springs,5352,2006,NorthCentral
Tarkiln Bayou,4845,2006,NorthWest
River Rise,3893,2006,NorthCentral
Catfish Creek,3827,2006,Central
Mound Key,3283,2006,SouthWest
Constitution Convention,3170,2006,NorthWest
Dunn's Creek,3134,2006,NorthEast
John Gorrie Museum,3074,2006,NorthCentral
Madira Bickel Mound,2765,2006,CentralWest
Charlotte Harbor,2438,2006,SouthWest
Lake June Scrub,1320,2006,Central
Orman House,1227,2006,NorthCentral
Hernando DeSoto,1179,2006,CentralWest
Pumpkin Hill Creek,842,2006,NorthEast
San Pedro,608,2006,SouthEast
Atlantic Ridge,338,2006,SouthEast
Addison Blockhouse Museum,144,2006,CentralEast
Honeymoon Island,1085120,2007,CentralWest
Cape Florida,893543,2007,SouthEast
John Pennekamp Coral Reef,878939,2007,SouthEast
St. Andrews,877788,2007,NorthWest
Sebastian Inlet,830448,2007,CentralEast
Lover's Key,819359,2007,SouthWest
Gasparilla Island,702713,2007,SouthWest
Anastasia,637762,2007,CentralWest
Bahia Honda,517868,2007,SouthEast
Stump Pass Beach,503926,2007,SouthWest
Lloyd Beach,495609,2007,SouthEast
Delnor-Wiggins Pass,480514,2007,SouthWest
Blue Spring,402756,2007,CentralEast
Fort Zachary Taylor,372274,2007,SouthEast
Oleta River,357178,2007,SouthEast
Fanning Springs,346885,2007,NorthCentral
Skyway State Fishing Pier,334587,2007,CentralWest
Homosassa Springs,329532,2007,CentralWest
Caladesi Island,327155,2007,CentralWest
Myakka River,296459,2007,CentralWest
Crystal River Preserve,290018,2007,CentralWest
Wekiwa Springs,253650,2007,Central
Silver Springs State Park,235608,2007,Central
De Leon Springs,235120,2007,CentralEast
Henderson Beach,233785,2007,NorthWest
Hugh Taylor Birch,225545,2007,SouthEast
Paynes Prairie,221465,2007,NorthCentral
Wakulla Springs State Park,217997,2007,NorthCentral
Fort Pierce Inlet,208907,2007,CentralEast
Highlands Hammock,205899,2007,Central
Anclote Key,204903,2007,CentralWest
Fort Clinch,204633,2007,NorthEast
Avalon,199905,2007,CentralEast
Rainbow Springs,196507,2007,Central
Amelia Island,192607,2007,NorthEast
Ichetucknee Springs,188776,2007,NorthCentral
Hillsborough River,185776,2007,CentralWest
Topsail Hill State Preserve,180326,2007,NorthWest
Egmont Key,180225,2007,CentralWest
St. George Island,178254,2007,NorthWest
Alfred B. Maclay Gardens,176054,2007,NorthCentral
St. Joseph,172048,2007,NorthWest
Jonathan Dickinson,165239,2007,SouthEast
Big Talbot Island,163854,2007,NorthEast
Ravine Gardens,145963,2007,NorthEast
Manatee Springs,133879,2007,NorthCentral
Big Lagoon,131857,2007,NorthWest
Oscar Scherer,122224,2007,CentralWest
John D MacArthur Beach,118275,2007,SouthEast
Flagler Beach,116632,2007,NorthEast
Tomoka,113533,2007,CentralEast
Little Talbot Island,106083,2007,NorthEast
Grayton Beach,104697,2007,NorthWest
Fakahatchee Strand,100634,2007,SouthWest
Stephen Foster,99508,2007,NorthCentral
Lake Louisa,97131,2007,Central
Shell Island,89451,2007,NorthEast
Florida Caverns,84030,2007,NorthWest
Rocky Bayou,77117,2007,NorthWest
Cayo Costa,76681,2007,SouthWest
Long Key,75646,2007,SouthEast
North Peninsula,73883,2007,CentralEast
Koreshan,64202,2007,SouthWest
Gold Head Branch,61848,2007,NorthEast
Alafia River,61378,2007,CentralWest
Washington Oaks,61353,2007,NorthEast
Bulow Creek,60667,2007,CentralEast
Curry Hammock,60544,2007,SouthEast
O'Leno,59906,2007,NorthCentral
Gamble Plantation,59186,2007,CentralWest
San Felasco Hammock,57432,2007,NorthCentral
Don Pedro Island,55640,2007,SouthWest
Lake Kissimmee,55419,2007,Central
Collier-Seminole,55110,2007,SouthWest
Madison Blue Springs,53401,2007,NorthCentral
St. Sebastian River,51556,2007,CentralEast
Ponce de Leon,50262,2007,NorthWest
Bald Point,50016,2007,NorthWest
Blackwater River,49561,2007,NorthWest
Lake Manatee,49403,2007,CentralWest
Eden State Gardens,45236,2007,NorthWest
Devil's Millhopper,44591,2007,NorthCentral
Hontoon Island,42319,2007,Central
Jack Island,39210,2007,CentralEast
Perdido Key,38484,2007,NorthWest
Werner-Boyce,38090,2007,CentralWest
Lake Griffin,37937,2007,Central
Fort George Island,37704,2007,NorthEast
Lake Jackson Mounds,37188,2007,NorthCentral
Faver-Dykes,36594,2007,NorthEast
Little Manatee River,36299,2007,CentralWest
Nature & Heritage Tourism Center,35446,2007,NorthCentral
Fort Mose,34497,2007,NorthEast
Yulee Sugar Mills,33034,2007,CentralWest
Falling Waters,32678,2007,NorthWest
Olustee Battlefield,32446,2007,NorthCentral
Ochlockonee River,32205,2007,NorthCentral
Charlotte Harbor,31835,2007,SouthWest
The Barnacle,31545,2007,SouthEast
Lafayette Blue Springs,30028,2007,NorthCentral
Suwannee River,29748,2007,NorthCentral
Paynes Creek,28073,2007,Central
Forest Capital,27813,2007,NorthCentral
Ybor City,27709,2007,CentralWest
Wacasassa Bay,27309,2007,NorthCentral
Fort Cooper,25469,2007,CentralWest
Torreya,24288,2007,NorthWest
Camp Helen,23513,2007,NorthWest
Three Rivers,23422,2007,NorthWest
Lignumvitae Key,23416,2007,SouthEast
Big Shoals,22409,2007,NorthCentral
Marjorie Kinnan Rawlings,21664,2007,NorthCentral
Savannas,20997,2007,CentralEast
Estero Bay,20249,2007,SouthWest
Dade Battlefield,20115,2007,Central
Troy Springs,19910,2007,NorthCentral
Bulow Plantation Ruins,19677,2007,CentralEast
Rock Springs Run,19522,2007,NorthCentral
Crystal River Arch. Site,19303,2007,CentralWest
Cedar Key State Museum,19054,2007,NorthCentral
Indian Key,18295,2007,SouthEast
Cedar Key Scrub,17012,2007,NorthCentral
St. Lucie Inlet,14069,2007,CentralEast
Colt Creek,12785,2007,CentralWest
Lake Talquin/River Bluff,12440,2007,NorthCentral
Natural Bridge Battlefield,12069,2007,NorthCentral
Kissimmee Prairie,11898,2007,CentralEast
Dudley Farm,11530,2007,NorthCentral
Key Largo Hammock,11372,2007,SouthEast
Windley Key,11087,2007,SouthEast
Econfina River,11006,2007,NorthCentral
Seabranch,10840,2007,CentralEast
Lower Wekiva River,10502,2007,Central
San Marcos de Apalache,10422,2007,NorthCentral
Dunn's Creek,10308,2007,NorthEast
Haw Creek,10082,2007,NorthEast
Letchworth Mounds,6920,2007,NorthCentral
Terra Ceia,6445,2007,CentralWest
Tarkiln Bayou,5669,2007,NorthWest
Catfish Creek,5587,2007,Central
Deer Lake,5370,2007,NorthWest
River Rise,4914,2007,NorthCentral
Peacock Springs,3821,2007,NorthCentral
John Gorrie Museum,3323,2007,NorthCentral
Madira Bickel Mound,3011,2007,CentralWest
Mound Key,2613,2007,SouthWest
Constitution Convention,2534,2007,NorthWest
Pumpkin Hill Creek,2523,2007,NorthEast
Orman House,2083,2007,NorthCentral
Lake June Scrub,1474,2007,Central
Hernando DeSoto,1178,2007,CentralWest
Atlantic Ridge,833,2007,SouthEast
San Pedro,712,2007,SouthEast
Honeymoon Island,1296809,2008,CentralWest
St. Andrews,1009910,2008,NorthWest
Cape Florida,909114,2008,SouthEast
Gasparilla Island,846987,2008,SouthWest
Sebastian Inlet,796018,2008,CentralEast
John Pennekamp Coral Reef,795274,2008,SouthEast
Lover's Key,743434,2008,SouthWest
Anastasia,601293,2008,CentralWest
Bahia Honda,518569,2008,SouthEast
Stump Pass Beach,516360,2008,SouthWest
Delnor-Wiggins Pass,491953,2008,SouthWest
John U. Lloyd Beach,463786,2008,SouthEast
Blue Spring,443003,2008,CentralEast
Fort Zachary Taylor,411266,2008,SouthEast
Crystal River Preserve,410450,2008,CentralWest
Caladesi Island,408990,2008,CentralWest
Oleta River,371324,2008,SouthEast
Homosassa Springs,369966,2008,CentralWest
Fanning Springs,315226,2008,NorthCentral
Myakka River,297002,2008,CentralWest
Skyway State Fishing Pier,292630,2008,CentralWest
Wekiwa Springs,280032,2008,Central
Silver Springs State Park,262688,2008,Central
Anclote Key,262311,2008,CentralWest
Paynes Prairie,246524,2008,NorthCentral
Henderson Beach,239265,2008,NorthWest
Hugh Taylor Birch,230679,2008,SouthEast
De Leon Springs,228233,2008,CentralEast
Fort Clinch,216308,2008,NorthEast
Amelia Island,212126,2008,NorthEast
Fort Pierce Inlet,209339,2008,CentralEast
Wakulla Springs State Park,208572,2008,NorthCentral
Highlands Hammock,199583,2008,Central
Rainbow Springs,189963,2008,Central
Fakahatchee Strand,189372,2008,SouthWest
St. George Island,184498,2008,NorthWest
Egmont Key,177687,2008,CentralWest
Avalon,176488,2008,CentralEast
Hillsborough River,169365,2008,CentralWest
St. Joseph,167159,2008,NorthWest
Ichetucknee Springs,161990,2008,NorthCentral
Topsail Hill State Preserve,156805,2008,NorthWest
Alfred B. Maclay Gardens,153032,2008,NorthCentral
Big Talbot Island,146093,2008,NorthEast
Jonathan Dickinson,144316,2008,SouthEast
Ravine Gardens,137794,2008,NorthEast
Manatee Springs,137363,2008,NorthCentral
Big Lagoon,135409,2008,NorthWest
John D MacArthur Beach,126360,2008,SouthEast
Little Talbot Island,124372,2008,NorthEast
Oscar Scherer,117800,2008,CentralWest
Flagler Beach,115568,2008,NorthEast
Grayton Beach,108055,2008,NorthWest
Tomoka,107884,2008,CentralEast
Lake Louisa,96328,2008,Central
Washington Oaks,90558,2008,NorthEast
North Peninsula,86064,2008,CentralEast
Rocky Bayou,84238,2008,NorthWest
Stephen Foster,80833,2008,NorthCentral
Weeki Wachee Springs,76116,2008,CentralWest
Long Key,75435,2008,SouthEast
Curry Hammock,75251,2008,SouthEast
Florida Caverns,71982,2008,NorthWest
Collier-Seminole,70462,2008,SouthWest
Cayo Costa,68851,2008,SouthWest
Koreshan,68144,2008,SouthWest
Alafia River,66788,2008,CentralWest
Gold Head Branch,65997,2008,NorthEast
O'Leno,63625,2008,NorthCentral
Gamble Plantation,62493,2008,CentralWest
Lake Kissimmee,61001,2008,Central
Don Pedro Island,60916,2008,SouthWest
San Felasco Hammock,59054,2008,NorthCentral
Bald Point,57090,2008,NorthWest
Bulow Creek,56198,2008,CentralEast
Ponce de Leon,56186,2008,NorthWest
Blackwater River,56139,2008,NorthWest
St. Sebastian River,53235,2008,CentralEast
Eden State Gardens,51975,2008,NorthWest
The Barnacle,51145,2008,SouthEast
Lake Manatee,48338,2008,CentralWest
Lake Jackson Mounds,46758,2008,NorthCentral
Devil's Millhopper,46516,2008,NorthCentral
Charlotte Harbor,46018,2008,SouthWest
Falling Waters,40849,2008,NorthWest
Lake Griffin,39120,2008,Central
Werner-Boyce,38041,2008,CentralWest
Madison Blue Springs,37232,2008,NorthCentral
Suwannee River,36835,2008,NorthCentral
Fort George Island,36440,2008,NorthEast
Jack Island,36382,2008,CentralEast
Hontoon Island,36317,2008,Central
Perdido Key,34508,2008,NorthWest
Ochlockonee River,34458,2008,NorthCentral
Yulee Sugar Mills,33405,2008,CentralWest
Faver-Dykes,32376,2008,NorthEast
Little Manatee River,32306,2008,CentralWest
Olustee Battlefield,30731,2008,NorthCentral
Paynes Creek,30611,2008,Central
Ybor City,29714,2008,CentralWest
Fort Cooper,28539,2008,CentralWest
Wacasassa Bay,27419,2008,NorthCentral
Camp Helen,27059,2008,NorthWest
Lafayette Blue Springs,26990,2008,NorthCentral
Forest Capital,26092,2008,NorthCentral
Indian Key,24789,2008,SouthEast
Torreya,24679,2008,NorthWest
Three Rivers,24446,2008,NorthWest
Lignumvitae Key,24316,2008,SouthEast
Kissimmee Prairie,22605,2008,CentralEast
Fort Mose,21323,2008,NorthEast
Savannas,20912,2008,CentralEast
Crystal River Arch. Site,20828,2008,CentralWest
Big Shoals,20774,2008,NorthCentral
Marjorie Kinnan Rawlings,20670,2008,NorthCentral
Dudley Farm,19922,2008,NorthCentral
Cedar Key State Museum,19473,2008,NorthCentral
Dade Battlefield,19418,2008,Central
Cedar Key Scrub,17008,2008,NorthCentral
Natural Bridge Battlefield,16982,2008,NorthCentral
Bulow Plantation Ruins,16638,2008,CentralEast
Econfina River,14903,2008,NorthCentral
Lake Talquin/River Bluff,14886,2008,NorthCentral
Troy Springs,13905,2008,NorthCentral
St. Lucie Inlet,13389,2008,CentralEast
Key Largo Hammock,12229,2008,SouthEast
Dunn's Creek,12088,2008,NorthEast
Windley Key,11782,2008,SouthEast
Colt Creek,11312,2008,CentralWest
San Marcos de Apalache,11268,2008,NorthCentral
Seabranch,10840,2008,CentralEast
Terra Ceia,7438,2008,CentralWest
Letchworth Mounds,7416,2008,NorthCentral
Rock Springs Run,6946,2008,NorthCentral
Pumpkin Hill Creek,6579,2008,NorthEast
Catfish Creek,6186,2008,Central
Anderson's Landing,6071,2008,NorthCentral
Deer Lake,5814,2008,NorthWest
Tarkiln Bayou,5557,2008,NorthWest
Haw Creek,5405,2008,NorthEast
Estero Bay,5205,2008,SouthWest
River Rise,4732,2008,NorthCentral
Lower Wekiva River,3953,2008,Central
Peacock Springs,3810,2008,NorthCentral
John Gorrie Museum,3437,2008,NorthCentral
Madira Bickel Mound,2721,2008,CentralWest
Atlantic Ridge,2669,2008,SouthEast
Orman House,2619,2008,NorthCentral
Mound Key,2495,2008,SouthWest
Constitution Convention,2035,2008,NorthWest
Lake June Scrub,1413,2008,Central
San Pedro,1113,2008,SouthEast
Honeymoon Island,1119837,2009,CentralWest
St. Andrews,807986,2009,NorthWest
Cape Florida,766384,2009,SouthEast
Lover's Key,742643,2009,SouthWest
Gasparilla Island,734113,2009,SouthWest
Sebastian Inlet,722683,2009,CentralEast
John Pennekamp Coral Reef,721091,2009,SouthEast
Anastasia,602093,2009,CentralWest
Blue Spring,540084,2009,CentralEast
Bahia Honda,484070,2009,SouthEast
John U. Lloyd Beach,476492,2009,SouthEast
Stump Pass Beach,471305,2009,SouthWest
Crystal River Preserve,441645,2009,CentralWest
Delnor-Wiggins Pass,403183,2009,SouthWest
Fort Zachary Taylor,388521,2009,SouthEast
Myakka River,343437,2009,CentralWest
Oleta River,323596,2009,SouthEast
Fanning Springs,304646,2009,NorthCentral
Homosassa Springs,300071,2009,CentralWest
Caladesi Island,280948,2009,CentralWest
Wekiwa Springs,264003,2009,Central
Hugh Taylor Birch,238038,2009,SouthEast
De Leon Springs,233658,2009,CentralEast
Silver Springs State Park,228630,2009,Central
Fort Clinch,218946,2009,NorthEast
Henderson Beach,214509,2009,NorthWest
Rainbow Springs,213780,2009,Central
Paynes Prairie,211525,2009,NorthCentral
Skyway State Fishing Pier,206630,2009,CentralWest
Fort Pierce Inlet,202732,2009,CentralEast
Egmont Key,196310,2009,CentralWest
Anclote Key,186354,2009,CentralWest
Amelia Island,185820,2009,NorthEast
Ichetucknee Springs,184151,2009,NorthCentral
St. George Island,183481,2009,NorthWest
Wakulla Springs State Park,177119,2009,NorthCentral
St. Joseph,175361,2009,NorthWest
Highlands Hammock,167072,2009,Central
Topsail Hill State Preserve,158148,2009,NorthWest
Jonathan Dickinson,154737,2009,SouthEast
Avalon,151689,2009,CentralEast
Weeki Wachee Springs,147145,2009,CentralWest
Manatee Springs,142642,2009,NorthCentral
Fakahatchee Strand,142059,2009,SouthWest
Big Talbot Island,137440,2009,NorthEast
Hillsborough River,134198,2009,CentralWest
John D MacArthur Beach,133097,2009,SouthEast
Little Talbot Island,128873,2009,NorthEast
Ravine Gardens,127574,2009,NorthEast
Big Lagoon,122409,2009,NorthWest
Grayton Beach,116335,2009,NorthWest
Alfred B. Maclay Gardens,112606,2009,NorthCentral
Flagler Beach,111370,2009,NorthEast
Oscar Scherer,108367,2009,CentralWest
Cayo Costa,99233,2009,SouthWest
Tomoka,97694,2009,CentralEast
North Peninsula,92617,2009,CentralEast
Stephen Foster,92094,2009,NorthCentral
Shell Island,91795,2009,NorthEast
Long Key,89426,2009,SouthEast
Lake Louisa,89368,2009,Central
Bald Point,82951,2009,NorthWest
Florida Caverns,76911,2009,NorthWest
Charlotte Harbor,76300,2009,SouthWest
Curry Hammock,73846,2009,SouthEast
Blackwater River,70934,2009,NorthWest
Rocky Bayou,70270,2009,NorthWest
Collier-Seminole,70211,2009,SouthWest
Koreshan,67090,2009,SouthWest
Gold Head Branch,64614,2009,NorthEast
Eden State Gardens,64181,2009,NorthWest
Washington Oaks,59998,2009,NorthEast
Lake Kissimmee,59026,2009,Central
O'Leno,58586,2009,NorthCentral
Alafia River,56694,2009,CentralWest
St. Sebastian River,55476,2009,CentralEast
San Felasco Hammock,54655,2009,NorthCentral
Bulow Creek,53941,2009,CentralEast
Gamble Plantation,53119,2009,CentralWest
Madison Blue Springs,49131,2009,NorthCentral
Ponce de Leon,47141,2009,NorthWest
Lake Manatee,46491,2009,CentralWest
Falling Waters,44466,2009,NorthWest
Devil's Millhopper,43563,2009,NorthCentral
Jack Island,40125,2009,CentralEast
Lake Jackson Mounds,38067,2009,NorthCentral
Suwannee River,37528,2009,NorthCentral
Nature & Heritage Tourism Center,36506,2009,NorthCentral
Fort George Island,36372,2009,NorthEast
Hontoon Island,36253,2009,Central
Lake Griffin,36241,2009,Central
Werner-Boyce,35755,2009,CentralWest
Lafayette Blue Springs,34893,2009,NorthCentral
Ochlockonee River,33450,2009,NorthCentral
Don Pedro Island,33172,2009,SouthWest
Indian Key,31234,2009,SouthEast
Perdido Key,31133,2009,NorthWest
Yulee Sugar Mills,30504,2009,CentralWest
The Barnacle,30418,2009,SouthEast
Three Rivers,30253,2009,NorthWest
Camp Helen,29614,2009,NorthWest
Faver-Dykes,29255,2009,NorthEast
Wacasassa Bay,28723,2009,NorthCentral
Lignumvitae Key,27800,2009,SouthEast
Fort Mose,27172,2009,NorthEast
Olustee Battlefield,27030,2009,NorthCentral
Fort Cooper,26182,2009,CentralWest
Paynes Creek,25848,2009,Central
Forest Capital,25008,2009,NorthCentral
Little Manatee River,24676,2009,CentralWest
Torreya,23040,2009,NorthWest
Ybor City,22428,2009,CentralWest
Savannas,20198,2009,CentralEast
Big Shoals,19719,2009,NorthCentral
Cedar Key Scrub,18397,2009,NorthCentral
Crystal River Arch. Site,18240,2009,CentralWest
Marjorie Kinnan Rawlings,17752,2009,NorthCentral
Dade Battlefield,17723,2009,Central
Cedar Key State Museum,16630,2009,NorthCentral
Peacock Springs,16369,2009,NorthCentral
Bulow Plantation Ruins,15809,2009,CentralEast
Kissimmee Prairie,14135,2009,CentralEast
Windley Key,13791,2009,SouthEast
Key Largo Hammock,13212,2009,SouthEast
St. Lucie Inlet,13058,2009,CentralEast
Natural Bridge Battlefield,12456,2009,NorthCentral
Dudley Farm,11837,2009,NorthCentral
Dunn's Creek,11714,2009,NorthEast
Troy Springs,11601,2009,NorthCentral
San Marcos de Apalache,11240,2009,NorthCentral
Seabranch,10840,2009,CentralEast
Colt Creek,10357,2009,CentralWest
Pumpkin Hill Creek,8982,2009,NorthEast
Econfina River,8156,2009,NorthCentral
Deer Lake,7802,2009,NorthWest
Anderson's Landing,7017,2009,NorthCentral
Terra Ceia,6676,2009,CentralWest
Rock Springs Run,6364,2009,NorthCentral
Lake Talquin/River Bluff,6288,2009,NorthCentral
Catfish Creek,5891,2009,Central
River Rise,5037,2009,NorthCentral
Letchworth Mounds,4429,2009,NorthCentral
Tarkiln Bayou,4068,2009,NorthWest
Estero Bay,3816,2009,SouthWest
Orman House,3744,2009,NorthCentral
Haw Creek,3549,2009,NorthEast
San Pedro,2988,2009,SouthEast
Atlantic Ridge,2969,2009,SouthEast
John Gorrie Museum,2906,2009,NorthCentral
Constitution Convention,2676,2009,NorthWest
Lower Wekiva River,2631,2009,Central
Madira Bickel Mound,2537,2009,CentralWest
Mound Key,1675,2009,SouthWest
Lake June Scrub,1376,2009,Central
Suwannee River Wilderness Trail,931,2009,NorthCentral
Yellow River Marshes,297,2009,NorthWest
Honeymoon Island,1134509,2010,CentralWest
Gasparilla Island,823526,2010,SouthWest
Sebastian Inlet,781518,2010,CentralEast
Lover's Key,754692,2010,SouthWest
John Pennekamp Coral Reef,718303,2010,SouthEast
Cape Florida,714865,2010,SouthEast
St. Andrews,681310,2010,NorthWest
Anastasia,548678,2010,CentralWest
Bahia Honda,535578,2010,SouthEast
Blue Spring,523235,2010,CentralEast
Stump Pass Beach,515952,2010,SouthWest
John U. Lloyd Beach,508375,2010,SouthEast
Delnor-Wiggins Pass,460350,2010,SouthWest
Fort Zachary Taylor,425993,2010,SouthEast
Oleta River,339060,2010,SouthEast
Myakka River,337130,2010,CentralWest
Homosassa Springs,291247,2010,CentralWest
Fanning Springs,285016,2010,NorthCentral
De Leon Springs,275369,2010,CentralEast
Crystal River Preserve,273921,2010,CentralWest
Hugh Taylor Birch,269632,2010,SouthEast
Rainbow Springs,262387,2010,Central
Caladesi Island,255742,2010,CentralWest
Wekiwa Springs,250762,2010,Central
Silver Springs State Park,237894,2010,Central
Fort Clinch,229083,2010,NorthEast
Fort Pierce Inlet,217116,2010,CentralEast
Egmont Key,207950,2010,CentralWest
Ichetucknee Springs,204586,2010,NorthCentral
Paynes Prairie,202107,2010,NorthCentral
Skyway State Fishing Pier,200018,2010,CentralWest
Wakulla Springs State Park,199310,2010,NorthCentral
St. George Island,192616,2010,NorthWest
Little Talbot Island,191656,2010,NorthEast
Henderson Beach,180873,2010,NorthWest
Anclote Key,179804,2010,CentralWest
Alfred B. Maclay Gardens,178764,2010,NorthCentral
Amelia Island,176815,2010,NorthEast
Jonathan Dickinson,176018,2010,SouthEast
Avalon,171876,2010,CentralEast
Topsail Hill State Preserve,169017,2010,NorthWest
Weeki Wachee Springs,164717,2010,CentralWest
St. Joseph,163001,2010,NorthWest
Highlands Hammock,158604,2010,Central
John D MacArthur Beach,153755,2010,SouthEast
Hillsborough River,150918,2010,CentralWest
Manatee Springs,135728,2010,NorthCentral
Ravine Gardens,126753,2010,NorthEast
Fakahatchee Strand,126034,2010,SouthWest
Flagler Beach,122172,2010,NorthEast
Oscar Scherer,120101,2010,CentralWest
Tomoka,118337,2010,CentralEast
Big Talbot Island,116585,2010,NorthEast
Grayton Beach,115464,2010,NorthWest
Big Lagoon,109472,2010,NorthWest
Cayo Costa,102207,2010,SouthWest
Stephen Foster,101498,2010,NorthCentral
North Peninsula,100728,2010,CentralEast
Lake Louisa,91012,2010,Central
Florida Caverns,90298,2010,NorthWest
Shell Island,88988,2010,NorthEast
Curry Hammock,86242,2010,SouthEast
Blackwater River,85479,2010,NorthWest
Long Key,81862,2010,SouthEast
St. Sebastian River,80716,2010,CentralEast
Charlotte Harbor,79438,2010,SouthWest
Rocky Bayou,66861,2010,NorthWest
Washington Oaks,66229,2010,NorthEast
Koreshan,65039,2010,SouthWest
Eden State Gardens,63819,2010,NorthWest
Gold Head Branch,63052,2010,NorthEast
O'Leno,60619,2010,NorthCentral
Alafia River,59885,2010,CentralWest
Collier-Seminole,58276,2010,SouthWest
Lake Kissimmee,56088,2010,Central
San Felasco Hammock,55084,2010,NorthCentral
Gamble Plantation,53201,2010,CentralWest
Bulow Creek,51014,2010,CentralEast
Werner-Boyce,50857,2010,CentralWest
Ponce de Leon,49622,2010,NorthWest
Fort George Island,49593,2010,NorthEast
Don Pedro Island,48917,2010,SouthWest
The Barnacle,46884,2010,SouthEast
Devil's Millhopper,46363,2010,NorthCentral
Lake Manatee,45746,2010,CentralWest
Madison Blue Springs,42413,2010,NorthCentral
Falling Waters,41697,2010,NorthWest
Hontoon Island,41680,2010,Central
Fort Mose,41311,2010,NorthEast
Lafayette Blue Springs,41278,2010,NorthCentral
Ochlockonee River,38811,2010,NorthCentral
Indian Key,36763,2010,SouthEast
Camp Helen,36656,2010,NorthWest
Suwannee River,35264,2010,NorthCentral
Lake Griffin,33198,2010,Central
Bald Point,33027,2010,NorthWest
Lignumvitae Key,32904,2010,SouthEast
Three Rivers,32581,2010,NorthWest
Olustee Battlefield,31098,2010,NorthCentral
Nature & Heritage Tourism Center,30796,2010,NorthCentral
Wacasassa Bay,30026,2010,NorthCentral
Faver-Dykes,29905,2010,NorthEast
Yulee Sugar Mills,29035,2010,CentralWest
Fort Cooper,27189,2010,CentralWest
Forest Capital,25420,2010,NorthCentral
Perdido Key,25337,2010,NorthWest
Little Manatee River,24412,2010,CentralWest
Torreya,24411,2010,NorthWest
Paynes Creek,23805,2010,Central
Peacock Springs,22777,2010,NorthCentral
Ybor City,21432,2010,CentralWest
Dade Battlefield,21046,2010,Central
Cedar Key Scrub,19581,2010,NorthCentral
Marjorie Kinnan Rawlings,19509,2010,NorthCentral
Savannas,18919,2010,CentralEast
Lake Jackson Mounds,18753,2010,NorthCentral
Big Shoals,18133,2010,NorthCentral
Crystal River Arch. Site,17404,2010,CentralWest
Bulow Plantation Ruins,16686,2010,CentralEast
