PARK,ATTENDANCE,year,Region
Fort Mose,5442,2002,NorthEast
Lignumvitae Key,4084,2002,SouthEast
John Gorrie Museum,3155,2002,NorthCentral
Tarkiln Bayou,3130,2002,NorthWest
Madira Bickel Mound,2974,2002,CentralWest
River Rise,2959,2002,NorthCentral
Troy Springs,2949,2002,NorthCentral
Beker,2415,2002,CentralEast
Constitution Convention,2156,2002,NorthWest
Hernando DeSoto,1728,2002,CentralWest
Mound Key,1633,2002,SouthWest
Dunn's Creek,1291,2002,NorthEast
Catfish Creek,1159,2002,Central
San Pedro,954,2002,SouthEast
Addison Blockhouse Museum,11,2002,CentralEast
John Pennekamp Coral Reef,1014627,2003,SouthEast
Cape Florida,860763,2003,SouthEast
Sebastian Inlet,742584,2003,CentralEast
Honeymoon Island,721893,2003,CentralWest
Lover's Key,719594,2003,SouthWest
John U. Lloyd Beach,670119,2003,SouthEast
Anastasia,607649,2003,CentralWest
St. Andrews,590511,2003,NorthWest
Delnor-Wiggins Pass,559630,2003,SouthWest
Gasparilla Island,520559,2003,SouthWest
Bahia Honda,518810,2003,SouthEast
Stump Pass Beach,375880,2003,SouthWest
Blue Spring,358837,2003,CentralEast
Fort Zachary Taylor,353700,2003,SouthEast
Homosassa Springs,272875,2003,CentralWest
Skyway State Fishing Pier,263621,2003,CentralWest
De Leon Springs,262548,2003,CentralEast
Oleta River,257531,2003,SouthEast
Myakka River,250954,2003,CentralWest
Fanning Springs,249565,2003,NorthCentral
Hugh Taylor Birch,236073,2003,SouthEast
St. George Island,229993,2003,NorthWest
Avalon,225204,2003,CentralEast
Wekiwa Springs,213524,2003,Central
Henderson Beach,210971,2003,NorthWest
Rainbow Springs,206622,2003,Central
Amelia Island,203262,2003,NorthEast
Fort Clinch,200376,2003,NorthEast
Wakulla Springs State Park,195111,2003,NorthCentral
Highlands Hammock,193046,2003,Central
Big Talbot Island,179697,2003,NorthEast
Silver Springs State Park,175549,2003,Central
Big Lagoon,173977,2003,NorthWest
St. Joseph,173406,2003,NorthWest
Jonathan Dickinson,172786,2003,SouthEast
Guana River,170961,2003,NorthEast
Fort Pierce Inlet,170947,2003,CentralEast
Perdido Key,169429,2003,NorthWest
Egmont Key,166588,2003,CentralWest
Navarre Beach State Park,165116,2003,NorthWest
Hillsborough River,164485,2003,CentralWest
Ichetucknee Springs,162385,2003,NorthCentral
Curry Hammock,158847,2003,SouthEast
Paynes Prairie,156670,2003,NorthCentral
Ravine Gardens,148141,2003,NorthEast
Caladesi Island,132910,2003,CentralWest
Manatee Springs,129661,2003,NorthCentral
Topsail Hill State Preserve,129384,2003,NorthWest
Rocky Bayou,125729,2003,NorthWest
Flagler Beach,123173,2003,NorthEast
Oscar Scherer,115549,2003,CentralWest
Alfred B. Maclay Gardens,114793,2003,NorthCentral
Fort George Island,113109,2003,NorthEast
Shell Island,103144,2003,NorthEast
Little Talbot Island,112414,2003,NorthEast
Grayton Beach,109123,2003,NorthWest
Withlacoochee State Trail,106226,2003,CentralWest
John D MacArthur Beach,101924,2003,SouthEast
Bald Point,101193,2003,NorthWest
Florida Caverns,94802,2003,NorthWest
Tomoka,94708,2003,CentralEast
Anclote Key,79017,2003,CentralWest
Long Key,77908,2003,SouthEast
Washington Oaks,71803,2003,NorthEast
Fakahatchee Strand,68300,2003,SouthWest
Stephen Foster,67916,2003,NorthCentral
Tallahassee/St. Marks Trail,67268,2003,NorthCentral
Cayo Costa,65148,2003,SouthWest
Collier-Seminole,65067,2003,SouthWest
Lake Louisa,59508,2003,Central
Koreshan,57956,2003,SouthWest
San Felasco Hammock,57404,2003,NorthCentral
Gold Head Branch,54922,2003,NorthEast
O'Leno,54918,2003,NorthCentral
North Peninsula,54025,2003,CentralEast
Don Pedro Island,51592,2003,SouthWest
Lake Kissimmee,50736,2003,Central
Lake Manatee,44912,2003,CentralWest
Bulow Creek,43776,2003,CentralEast
Lake Jackson Mounds,43307,2003,NorthCentral
Hontoon Island,41101,2003,Central
Jack Island,39681,2003,CentralEast
Devil's Millhopper,38542,2003,NorthCentral
Blackwater River,38076,2003,NorthWest
Alafia River,37753,2003,CentralWest
Faver-Dykes,37534,2003,NorthEast
Eden State Gardens,36493,2003,NorthWest
Falling Waters,34379,2003,NorthWest
Nature Coast State Trail,34351,2003,NorthCentral
Gamble Plantation,33187,2003,CentralWest
Werner-Boyce,32773,2003,CentralWest
Tarkiln Bayou,32124,2003,NorthWest
Ponce de Leon,32004,2003,NorthWest
Yulee Sugar Mills,31691,2003,CentralWest
Olustee Battlefield,30964,2003,NorthCentral
Lake Griffin,30928,2003,Central
Nature & Heritage Tourism Center,30150,2003,NorthCentral
Ochlockonee River,30103,2003,NorthCentral
Suwannee River,29291,2003,NorthCentral
The Barnacle,29087,2003,SouthEast
Dade Battlefield,29010,2003,Central
Three Rivers,28209,2003,NorthWest
Ybor City,27920,2003,CentralWest
Van Fleet State Trail,27121,2003,Central
Blackwater Heritage Trail,26485,2003,NorthWest
Wacasassa Bay,26007,2003,NorthCentral
Forest Capital,25649,2003,NorthCentral
Paynes Creek,25315,2003,Central
Key Largo Hammock,23158,2003,SouthEast
Marjorie Kinnan Rawlings,21874,2003,NorthCentral
Little Manatee River,21574,2003,CentralWest
Torreya,21252,2003,NorthWest
Savannas,20633,2003,CentralEast
Bulow Plantation Ruins,20208,2003,CentralEast
Cedar Key State Museum,20089,2003,NorthCentral
Crystal River Arch. Site,20011,2003,CentralWest
San Marcos de Apalache,18016,2003,NorthCentral
Fort Cooper,16894,2003,CentralWest
Lake Talquin/River Bluff,15732,2003,NorthCentral
Indian Key,15731,2003,SouthEast
Letchworth Mounds,15571,2003,NorthCentral
Natural Bridge Battlefield,15416,2003,NorthCentral
St. Lucie Inlet,15113,2003,CentralEast
Cedar Key Scrub,14899,2003,NorthCentral
Big Shoals,13653,2003,NorthCentral
Lignumvitae Key,13545,2003,SouthEast
Kissimmee Prairie,13022,2003,CentralEast
Windley Key,12495,2003,SouthEast
Econfina River,12400,2003,NorthCentral
Rock Springs Run,11544,2003,NorthCentral
Seabranch,10820,2003,CentralEast
Tosohatchee,10596,2003,Central
Fort Mose,9782,2003,NorthEast
Haw Creek,8971,2003,NorthEast
Lower Wekiva River,7423,2003,Central
Peacock Springs,7064,2003,NorthCentral
Dudley Farm,6972,2003,NorthCentral
Camp Helen,5540,2003,NorthWest
Troy Springs,5178,2003,NorthCentral
Deer Lake,4591,2003,NorthWest
John Gorrie Museum,3280,2003,NorthCentral
River Rise,3078,2003,NorthCentral
Madira Bickel Mound,2799,2003,CentralWest
Mound Key,2289,2003,SouthWest
Constitution Convention,2236,2003,NorthWest
Dunn's Creek,2110,2003,NorthEast
Beker,1882,2003,CentralEast
Catfish Creek,1739,2003,Central
Lake June Scrub,1498,2003,Central
Orman House,944,2003,NorthCentral
San Pedro,649,2003,SouthEast
Addison Blockhouse Museum,26,2003,CentralEast
John Pennekamp Coral Reef,885340,2004,SouthEast
Honeymoon Island,869458,2004,CentralWest
Cape Florida,733254,2004,SouthEast
Lover's Key,675e3,2004,SouthWest
St. Andrews,659483,2004,NorthWest
Anastasia,624785,2004,CentralWest
Sebastian Inlet,548984,2004,CentralEast
Delnor-Wiggins Pass,523218,2004,SouthWest
John U. Lloyd Beach,490074,2004,SouthEast
Bahia Honda,474124,2004,SouthEast
Stump Pass Beach,394998,2004,SouthWest
Gasparilla Island,389548,2004,SouthWest
Blue Spring,340139,2004,CentralEast
Fort Zachary Taylor,308222,2004,SouthEast
Homosassa Springs,295221,2004,CentralWest
Myakka River,259886,2004,CentralWest
De Leon Springs,248465,2004,CentralEast
Paynes Prairie,242724,2004,NorthCentral
Skyway State Fishing Pier,242471,2004,CentralWest
Oleta River,241040,2004,SouthEast
Caladesi Island,226900,2004,CentralWest
Henderson Beach,208410,2004,NorthWest
Hugh Taylor Birch,204853,2004,SouthEast
Fanning Springs,203387,2004,NorthCentral
Wekiwa Springs,191668,2004,Central
St. George Island,189703,2004,NorthWest
Highlands Hammock,189633,2004,Central
Rainbow Springs,185744,2004,Central
Silver Springs State Park,185116,2004,Central
